front,back,tags
"Summarize the core idea of **Vector Clocks**.","**Vector clocks** extend Lamport's logical clocks to capture **causal ordering** among events in a distributed system. Where a Lamport timestamp gives a single integer that respects happens-before but cannot distinguish concurrent events, a vector clock maintains one counter per process. Comparing two vectors yields one of three outcomes: one event **happened-before** the other, the events are **concurrent** (neither caused the other), or the vectors are **equal** (same causal knowledge in the m","vector-clocks|summary"
"What is **Consensus**?","Each process proposes a value; all correct processes decide the same value, only proposed values are decided, each decides at most once, and all correct processes eventually decide","consensus-problem|terminology"
"What is **Agreement**?","No two correct processes decide different values (safety)","consensus-problem|terminology"
"What is **Validity**?","If a process decides v, then v was proposed by some process (safety)","consensus-problem|terminology"
"What is **Integrity / unanimity**?","A process decides at most once (safety)","consensus-problem|terminology"
"What is **Termination**?","Every correct process eventually decides (liveness)","consensus-problem|terminology"
"What is **Uniform consensus**?","All correct processes decide the same value; incorrect processes may decide arbitrarily or not at all—common in crash-stop literature","consensus-problem|terminology"
"What is **Non-uniform consensus**?","Correct processes agree; faulty processes are unconstrained","consensus-problem|terminology"
"What is **Atomic broadcast**?","Deliver the same messages in the same order to all correct processes; equivalent to consensus under certain reductions","consensus-problem|terminology"
"What is **Total order broadcast**?","Atomic broadcast with agreement on message sequence","consensus-problem|terminology"
"What is **State-machine replication**?","Replicas execute the same ordered commands on deterministic state machines","consensus-problem|terminology"
"What is **Quorum**?","A set of processes whose intersection with any two quorums is non-empty—enables safety via overlap","consensus-problem|terminology"
"What is **Proposal**?","A value a process offers for decision","consensus-problem|terminology"
"What is **Decision**?","The irrevocable output of the consensus instance","consensus-problem|terminology"
"Summarize the core idea of **The Consensus Problem**.","**Consensus** is the fundamental coordination problem in distributed systems: a set of processes, each holding a proposed value, must **agree** on a single output despite crashes, message loss, and unpredictable delays. The problem appears wherever independent nodes must pick one authoritative decision—who is the leader, whether a transaction commits, which configuration is active, or which operation belongs next in a replicated log.","consensus-problem|summary"
"What is **Server agent**?","Raft peer; stores state","consul|terminology"
"What is **Client agent**?","Lightweight; runs checks; caches","consul|terminology"
"What is **Catalog**?","Registered services and nodes","consul|terminology"
"What is **Service**?","Named logical service with instances","consul|terminology"
"What is **Check**?","Health probe (HTTP, TCP, TTL, script)","consul|terminology"
"What is **Serf**?","Gossip protocol for membership","consul|terminology"
"What is **Raft**?","Consensus for server state","consul|terminology"
"What is **Datacenter (DC)**?","Consul isolation/federation unit","consul|terminology"
"What is **ACL**?","Token-based authorization","consul|terminology"
"What is **Session**?","Lock/ephemeral binding with TTL","consul|terminology"
"What is **Connect**?","Service mesh with sidecar proxies","consul|terminology"
"What is **Intention**?","Allow/deny policy between services","consul|terminology"
"What is **Prepared query**?","Geo-failover / routing template","consul|terminology"
"What is **Blocking query**?","Long-poll with index for changes","consul|terminology"
"What is **Gossip encryption**?","Symmetric key for Serf traffic","consul|terminology"
"Summarize the core idea of **HashiCorp Consul**.","**HashiCorp Consul** is a multi-capability platform for **service networking**: **service discovery**, **health checking**, **KV configuration**, **multi-datacenter federation**, and **service mesh (Consul Connect)** with **mutual TLS**. Its **server agents** form a **Raft consensus cluster** that stores the **catalog** and **KV state**; **client agents** run on every node, forwarding queries and executing health checks locally.","consul|summary"
"What is **Lease**?","Time-bounded grant of exclusive right","distributed-leases|terminology"
"What is **TTL (time-to-live)**?","Duration until lease expires without renewal","distributed-leases|terminology"
"What is **Renewal / keepalive**?","Extend lease before expiry","distributed-leases|terminology"
"What is **Lease holder / grantee**?","Process with current valid lease","distributed-leases|terminology"
"What is **Fencing token**?","Monotonic ID issued with lease; storage rejects stale tokens","distributed-leases|terminology"
"What is **Stale lease holder**?","Process believing it holds lease after expiration","distributed-leases|terminology"
"What is **Grace period**?","Optional buffer before re-grant","distributed-leases|terminology"
"What is **Ephemeral znode**?","ZooKeeper session-bound node (lease-like)","distributed-leases|terminology"
"What is **Lease revocation**?","Administrative early termination","distributed-leases|terminology"
"What is **Split brain (lease context)**?","Two holders believe exclusivity—must prevent at storage","distributed-leases|terminology"
"What is **Safety margin**?","TTL minus renewal interval minus max pause","distributed-leases|terminology"
"Summarize the core idea of **Distributed Leases**.","A **distributed lease** grants a holder **time-limited, exclusive rights** to a resource—a lock, a shard, write authority, or leadership—across processes that do not share memory or clocks. Leases decouple **liveness** from **safety**: if the holder stops renewing (crash, partition, GC pause), the lease **expires** and another participant may acquire the resource. Unlike pure consensus locks, leases trade **strict mutual exclusion under all delays** for **availability** and **automatic recovery*","distributed-leases|summary"
"What is **Member**?","etcd Raft peer","etcd|terminology"
"What is **Leader**?","Sole Raft writer for log entries","etcd|terminology"
"What is **Revision**?","Cluster-wide MVCC version counter","etcd|terminology"
"What is **Mod revision**?","Revision when key was last modified","etcd|terminology"
"What is **Create revision**?","Revision when key was created","etcd|terminology"
"What is **Lease**?","TTL grant; keys bound to lease expire together","etcd|terminology"
"What is **Compaction**?","Drop historical MVCC versions before revision","etcd|terminology"
"What is **Defragmentation**?","Reclaim disk after compaction","etcd|terminology"
"What is **Snapshot**?","Point-in-time state for new members / recovery","etcd|terminology"
